letter_number,entity_name,entity_type
035,Holmes,PERSON
035,Burrell,PERSON
035,New  York,LOCATION
035,Grimke,PERSON
035,Pat,PERSON
035,Thomas,PERSON
035,Alfred,PERSON
035,Virginia,LOCATION
035,Pendleton,LOCATION
035,South  Carolina,LOCATION
035,Johnson,PERSON
035,Richardson,PERSON
035,New  York,LOCATION
035,States,LOCATION
035,Delaware,LOCATION
035,Berrien,PERSON
035,LaFayette,PERSON
035,Georgia,LOCATION
035,Island,LOCATION
035,Thermometer,PERSON
035,Hamilton,PERSON
035,Island,LOCATION
036,Charleston,LOCATION
036,St.  Stephen's,LOCATION
036,America,LOCATION
036,Solomon,PERSON
036,Johnson,PERSON
036,Pringle,PERSON
036,Poinsett,PERSON
036,Wayne,PERSON
036,Georgia,LOCATION
036,Drayton,LOCATION
036,Drayton,LOCATION
036,Tom  Condy,PERSON
036,Tom,PERSON
036,Bench,LOCATION
036,William  Scott,PERSON
036,Marshall,PERSON
036,Uncle,PERSON
036,Sam,PERSON
036,Charleston,LOCATION
036,Drayton,LOCATION
036,Hamilton,PERSON
036,Demos,PERSON
036,Calhoun,PERSON
036,Magrath,LOCATION
036,Savannah  River,LOCATION
036,Wightman,PERSON
036,New  York,LOCATION
036,Mammon,PERSON
036,Hamilton,PERSON
036,Savannah  River,LOCATION
036,Pringle,PERSON
037,Charleston,LOCATION
037,Grimke,LOCATION
037,Columbus,LOCATION
037,Ohio,LOCATION
037,Ohio,LOCATION
037,Holmes,PERSON
037,Magrath,LOCATION
037,Davis,PERSON
037,The  Union,LOCATION
037,pell,PERSON
037,Hamilton,PERSON
037,Hamilton,PERSON
037,Hamilton,PERSON
037,Dickson,PERSON
037,Dickson,PERSON
037,Dickson,PERSON
037,the  Union,LOCATION
037,Georgia,LOCATION
037,Gilmer,PERSON
037,Calhoun,PERSON
037,Georgia,LOCATION
037,Georgia,LOCATION
037,Bacot,LOCATION
037,Alfred  Huger,PERSON
037,Virginia,LOCATION
037,Johnson,PERSON
037,North,PERSON
037,Whigs,LOCATION
037,Wayne,PERSON
037,Drayton,LOCATION
037,Berrien,PERSON
037,Savannah,LOCATION
037,Wightman,PERSON
037,Wightman,PERSON
037,Henry  North,PERSON
038,Charleston,LOCATION
038,Drayton,LOCATION
038,the  Union,LOCATION
038,Bill,PERSON
038,Poinsett,PERSON
038,Mountaineers,PERSON
038,McCord,PERSON
038,Hamilton,PERSON
038,Jackson,PERSON
038,the  Union,LOCATION
038,Georgia,LOCATION
038,The  Union,LOCATION
038,Huger,PERSON
038,Charleston,LOCATION
038,Wayne,PERSON
039,Carolina,LOCATION
039,a  Union  Convention,LOCATION
039,United  States  Constitution,LOCATION
039,United  States,LOCATION
039,Hamilton,PERSON
039,Richardson,PERSON
039,J.  P.,PERSON
039,relatione^,LOCATION
039,David  McCord,PERSON
039,Richardson,PERSON
039,David,PERSON
039,Richardson,PERSON
039,Lee,PERSON
039,Columbia,LOCATION
039,Tom  Williams,PERSON
039,WiUiam,PERSON
039,United  States,LOCATION
039,T.  W.  to,PERSON
039,Lee,PERSON
039,McCord,PERSON
039,Abbeville,LOCATION
039,McCord,PERSON
039,United  States,LOCATION
039,Richardson,PERSON
039,McCord,PERSON
039,Hamilton,PERSON
039,Chesnut,PERSON
039,Clark,PERSON
039,the  Union,LOCATION
039,McCord,PERSON
039,Richardson,PERSON
039,McCord,PERSON
039,McCord,PERSON
039,the  Union,LOCATION
039,Hamilton,PERSON
039,McDuffie,PERSON
039,Augusta,PERSON
039,Hamilton,PERSON
039,John,PERSON
039,Lancaster,PERSON
039,United  States,LOCATION
039,Lancaster,PERSON
039,Hamilton,PERSON
039,Calhoun,PERSON
040,Charleston,LOCATION
040,Porcher,PERSON
040,Charles,PERSON
040,Mary,PERSON
040,Harriette,PERSON
040,Mary,PERSON
040,Harriette,PERSON
040,Jack,PERSON
040,Pettigrew,LOCATION
040,Robert  Pettigrew,PERSON
040,Solicitor,PERSON
040,Thomas  Joseph  Pettigrew,PERSON
040,London,LOCATION
040,France,LOCATION
040,Scotland,LOCATION
040,Ireland,LOCATION
040,France,LOCATION
040,James,PERSON
040,Mathew  Petigru,PERSON
040,Glasgow,PERSON
040,William  Beechy,PERSON
040,Margaret,PERSON
040,Caroline,LOCATION
040,Charles,PERSON
041,Charleston,LOCATION
041,Bill,PERSON
041,McCord,PERSON
041,Johnston,PERSON
041,O'Neale,PERSON
041,Albert,PERSON
041,Smith,LOCATION
041,Bill,PERSON
041,Bill,PERSON
042,Jane,PERSON
043,JANE  PETIGRU,PERSON
043,Sally,PERSON
043,Sally,PERSON
043,Sabbath,PERSON
044,Charleston,LOCATION
044,Holmes,PERSON
044,Boyer,PERSON
045,Charleston,LOCATION
045,Patriot,PERSON
045,Bennett,PERSON
045,Bennett,PERSON
045,Steedman,PERSON
045,Holmes,PERSON
045,Holmes,PERSON
045,Bennett,PERSON
046,Charleston,LOCATION
046,Boston,LOCATION
046,"New
York",LOCATION
046,Forsyth,PERSON
046,Washington,LOCATION
046,Yeadon,LOCATION
046,J.  C.  Calhoun,PERSON
046,Keith,PERSON
046,L.  P.  Holmes,PERSON
046,Hamilton,PERSON
046,Peronneau,PERSON
046,Henry,LOCATION
046,Ripley,LOCATION
046,Seymour,PERSON
046,Howland,LOCATION
046,Ripley,LOCATION
046,Washington,LOCATION
046,Washington,LOCATION
046,Preston,PERSON
046,Georgetown,LOCATION
047,Charleston,LOCATION
047,Jane,PERSON
047,Frost,PERSON
047,Shall,PERSON
047,Jim,PERSON
047,Broad,PERSON
047,Savannah,LOCATION
047,Georgetown,LOCATION
047,Pringle,PERSON
047,Orange  Street,LOCATION
047,Ohio,LOCATION
047,Tom,PERSON
048,JANE,PERSON
048,Washington,LOCATION
048,Louisville,LOCATION
048,Columbus,LOCATION
048,Nashville,LOCATION
048,Rutledge,LOCATION
048,Mississippi,LOCATION
048,South  Carolina,LOCATION
048,South  Carolina,LOCATION
048,South  Carolina,LOCATION
049,Washington,LOCATION
049,Hugh,PERSON
049,Calhoun,PERSON
049,Hamilton,PERSON
049,Rhetts,PERSON
049,Texas,LOCATION
049,McDuflie,PERSON
049,Calhoun,LOCATION
049,Texas,LOCATION
049,New  England,LOCATION
049,South  Carolina,LOCATION
050,JANE,PERSON
050,Jane,PERSON
050,Calhoun,PERSON
050,Preston,PERSON
050,Hamilton,PERSON
050,McDuffie,PERSON
050,Hervemont,LOCATION
050,Jack,PERSON
050,Sarah,PERSON
050,China,LOCATION
050,Joe  Lesesne,PERSON
050,Mobile,LOCATION
050,Joe,PERSON
050,Joe,PERSON
051,JANE,PERSON
051,Charleston,LOCATION
051,Badwell,PERSON
051,Tom,PERSON
051,Georgetown,LOCATION
052,JANE,PERSON
052,Charleston,LOCATION
052,Jane,PERSON
052,Charleston,LOCATION
052,Magrath,LOCATION
052,Porcher,PERSON
052,Liberty  Street,LOCATION
052,Hamilton,PERSON
052,Hamilton,PERSON
052,James,PERSON
052,Laurens,PERSON
052,Liberty,LOCATION
052,Augusta,LOCATION
052,Daniel,PERSON
052,Baltimore,LOCATION
052,Maryland,LOCATION
053,JANE,PERSON
053,Jane,PERSON
053,Tom,PERSON
053,Greenville,LOCATION
053,Milledgeville,PERSON
053,Gilmer,PERSON
053,Augusta,LOCATION
053,Tom,PERSON
053,Chattahoochie,PERSON
053,Gilmer,PERSON
053,Tom,PERSON
053,Anne,PERSON
053,Mary,PERSON
053,Jane,PERSON
054,Charleston,LOCATION
054,Httle,PERSON
054,Huger,PERSON
054,Pringle,PERSON
054,Kinloch,PERSON
054,Jnd,PERSON
054,Holmes,PERSON
054,Poinsett,PERSON
054,Bennett,PERSON
054,Huger,PERSON
054,Calhoun,PERSON
054,Poinsett,PERSON
054,New  York,LOCATION
054,Jove,PERSON
055,JANE,PERSON
055,Jane,PERSON
055,Trezevant,PERSON
055,Casey,PERSON
055,Margaret,PERSON
055,Willington,PERSON
055,Ben,PERSON
055,Charleston,LOCATION
055,Reid,PERSON
055,Ben,PERSON
055,Smith,PERSON
055,Abbott,LOCATION
055,Caroline,PERSON
055,Trezevant,PERSON
055,Savannah,LOCATION
056,JANE,PERSON
056,Tom,PERSON
056,Tom,PERSON
057,JANE,PERSON
057,Charleston,LOCATION
057,Mary,PERSON
057,Norths,PERSON
057,Caroline,LOCATION
057,Dan,PERSON
057,Drayton,LOCATION
057,Lee,PERSON
057,Jane,PERSON
058,Charleston,LOCATION
058,Aunt,PERSON
058,Jane,PERSON
058,Ma,PERSON
058,Ma,PERSON
058,Jack,PERSON
058,Dan,PERSON
058,Maria  Murray,PERSON
058,Sue,PERSON
058,Dean,PERSON
058,Ma,PERSON
058,Dan,PERSON
059,Georgetown,LOCATION
059,Queen  Streets,PERSON
059,Richard,PERSON
059,St.  Finbar's,LOCATION
059,Dana,PERSON
059,Rev,PERSON
059,Episcopal,PERSON
059,Charles  Elliott,PERSON
059,Dan,PERSON
059,Princeton,PERSON
059,Bill,PERSON
059,Dan,PERSON
059,Signor  Ravina,PERSON
059,Abelard,PERSON
059,Ma,PERSON
059,Louisa,PERSON
059,Neufville,PERSON
059,Ma,PERSON
059,Familiar,PERSON
060,Charleston,LOCATION
061,JAMES  HAMILTON,PERSON
061,JR,PERSON
061,Hamilton,PERSON
061,J.  L.  Petigru,PERSON
061,Charleston,LOCATION
061,J.  Hamilton,PERSON
061,Hamburgh,LOCATION
061,Hamilton,PERSON
061,J.  L.  Petigru,PERSON
061,Charleston,LOCATION
061,James  Hamilton,PERSON
062,JANE,PERSON
062,Charleston,LOCATION
062,Charleston,LOCATION
062,Tom,PERSON
063,JANE  PETIGRU,PERSON
063,Charleston,LOCATION
063,Washington,LOCATION
063,burton,PERSON
063,Maine,LOCATION
063,Maine,LOCATION
063,Massachusetts,LOCATION
063,Webster,PERSON
063,Webster,PERSON
063,Washington,LOCATION
063,Oliver  Smith,PERSON
063,T.  Higham,PERSON
063,Smith,LOCATION
063,Tom,PERSON
